Title,Price,Brand,Link
1 Kg De Base Glicerina Para Sabonete Art - Nossa Terra Cores,20,Marca não especificada,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=DTOdv5lMb8eQ0OmK7y8KAv1hjFpPCBVE7ewDHrMt07ehWqPsN%2FZcSAFCy1GbFRJaXOu2MG6BTlAUzpoWmXtToYR2Kfw68X%2FYJoveRmBKoP8V38O0vziAlCO%2BPLXJO90EMIU6GWRzDnZN2nAJnvntqaqFobqPj9%2BnP68FA49%2BKH7qw1AreYfgto1EzXAzt%2BQIz6u3Q7%2F4aA3q%2FJ3Rv5GZi10pGM%2BeC%2Fknj%2FyKM%2FxEdFx8H%2B%2FUOGJ9TRytvaKcoPCHQetydZgV2RjUnFMoKsLYP%2Bviht25%2FGBrIchk7GitnJdKb2Ayyrq9Dg7OAfDt0KPHg2d%2FBeOnBNRJkt2EtLJLnqzvwUH2doa6hVSyptr0Ls1Dn9d0w18RrQgCguJbimPDo8%2B52xbj6FQeyTGqZGmx3oPUxFmtk5vH9y3SwQkq0gslM4nxlcIcPjdUsf1IZy20jbh70NV5fZ%2B0pJ3okseG7y%2F8xbtE29xONZEDr9xSTc8AhUZ2BP7ZWLRBLcM3BKN0zVjRbaRa1DW01EQ3DT9UyTl2NIp0jQGaK0dXjD1Ax3mqKEwjZIh1mzIGQgZJYiQ5XMzhxeY8FFo0VEAuz4Aimae5g6aqV8fHlKpylPiszdA2Dq%2F8vlyDR28zLiFdg%2BsYY3P%2BO%2FkxQu%2B6OE0GmRG3a3WGsCy91SQDOpqJoFzSo%2FfZtu%2F4Kueqxstb2UkSQ8iGbtiYMlJ%2BYTwnHFDdH6CC9HQ%3D&rb=x
Kit 500 Mini Sabonete 10g Pousada Hotel Motel Airbnb Pousada,144,Marca não especificada,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=4fLJ9ZmnaGlckgCfy0u278qribi0gAUiy4%2BYSnwrTQ0eyA62zsXaTgu9l91SEotI%2F8yuUYPzfBA8P%2BPHAnV8URNRXA9baBFmkNucexrZFKX7b2pwKsLPS%2F8jwQ9ueqG0f7ZyPrsuU6KGug%2BhAiLMm6H2hqMMhRl%2FSKRgxHnxx68ZdaOiRVyf1qd7Fohj9PibPI2TJ9fnP0SiRFvEdTfKsCqdjqT%2BhSoqOGcTzYcyBRyLcnsvvmAfNaCfwDIi3f6im%2FoarFwHaho5lA5lEWrKo4IPs2j1vsGPkJ8VmXS1O8fXLq0WOxornWRn2kYQJq%2FeV%2FxW89m1aMU%2BF3uS5fIIe2Hx%2FccBSgSopmZ0I3cHyKrclkv%2FtFfnSK2dnwXE3bhdDlxFdn9S55r%2BEvwyWp9Veu9cQKt1KLct1XHd2QN6B8SN%2Fkqma9p3c%2BX7y4jEbLKXoTLmi33Zg5HV7%2B2WAd8OOE843%2F793Fr2DlxNsm%2BCyAUIAYcrROo64shTDVt%2BQgqZn7VDzY6b4o6PjcOH5RaWw4uEuRSUDDf3wjbgQ2iswMi7s6X89DY1dsesdB3nW3HfKn5LQCjoyv%2Bdl5yWi%2FAkyqYWyw9EQQOc3M39BYj2HKmxEw%2BpR9vs8VYXBFsbrAThvG2DpcNhGSmgbOLWRW8fhkYhnHALyeqC6SCcQKCEIjwOVcUTXyFTTLM8sJc4piGzHE46viAVoRtVqlBfMlFFJNtFi0w%3D&rb=x
Sabonete Classic Senador Kit 12 130g,78,Marca não especificada,https://www.mercadolivre.com.br/sabonete-classic-senador-kit-12-130g/p/MLB25938957#wid%3DMLB5102663498%26sid%3Dsearch%26searchVariation%3DMLB25938957%26position%3D4%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Kit 12 Sabonete Em Barra Nutri Spa Amêndoas Johnson's 80g,34,Marca não especificada,https://www.mercadolivre.com.br/kit-12-sabonete-em-barra-nutri-spa-amndoas-johnsons-80g/p/MLB28881714#wid%3DMLB4939485370%26sid%3Dsearch%26searchVariation%3DMLB28881714%26position%3D5%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Sabonete em barra Protex baby suave glicerina natural 85g,9,Marca não especificada,https://www.mercadolivre.com.br/sabonete-em-barra-protex-baby-suave-glicerina-natural-85g/p/MLB19466644#wid%3DMLB2769825897%26sid%3Dsearch%26searchVariation%3DMLB19466644%26position%3D6%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Palmolive Nutrição Intensiva Sabonete Em Barra naturals karité e vitamina e 85g x6,10,Marca não especificada,https://www.mercadolivre.com.br/palmolive-nutrico-intensiva-sabonete-em-barra-naturals-karite-e-vitamina-e-85g-x6/p/MLB18342008#wid%3DMLB3328050409%26sid%3Dsearch%26searchVariation%3DMLB18342008%26position%3D7%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
1kg De Base Glicerinada Para Sabonete Transparente Rp,18,Marca não especificada,https://www.mercadolivre.com.br/1kg-de-base-glicerinada-para-sabonete-transparente-rp/p/MLB21545251#wid%3DMLB3391493408%26sid%3Dsearch%26searchVariation%3DMLB21545251%26position%3D8%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Dove sabonete em barra 90g 6 unidades,21,Marca não especificada,https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683#wid%3DMLB3534116197%26sid%3Dsearch%26searchVariation%3DMLB28537683%26position%3D9%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Sabonete Liquido Pessego E Damasco Premisse 5l,22,Marca não especificada,https://www.mercadolivre.com.br/sabonete-liquido-pessego-e-damasco-premisse-5l/p/MLB19784882#wid%3DMLB3889722171%26sid%3Dsearch%26searchVariation%3DMLB19784882%26position%3D10%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
Base Glicerinada Branca Para Sabonete Nossa Terra,24,Marca não especificada,https://www.mercadolivre.com.br/base-glicerinada-branca-para-sabonete-nossa-terra/p/MLB22906791#wid%3DMLB3344432649%26sid%3Dsearch%26searchVariation%3DMLB22906791%26position%3D11%26search_layout%3Dgrid%26type%3Dproduct%26tracking_id%3D93c3bfbc-e617-40f6-b6e5-fa0b7bb5534e
